#==================== DEVICE PROBS FOR DEVICE 0========================
#	Device Name: Tesla C2050
#	Total Global Memory: 3181838336
#	Shared Memory/Block: 49152
#	Registers (32bit)/Block: 32768
#	Warp Size: 32
#	Memory Pitch: 2147483647
#	Max. Threads/Block: 1024
#	Max. Threads Dim: 1024 , 1024 , 64
#	Max. Grid Size: 65535 , 65535 , 1
#	Total Const Memory: 65536
#	Compute Capability: 2 , 0
#	Clock Rate: 1147000
#	Texture Alignment: 512
#	Devide Overlap: 1
#	Multiprocessor Count: 14#	Kernel Exec. Timeout: 1
#	Integrated GPU: 0
#	Can map host memory GPU: 1
#	Compute Mode: 0
#	Concurrent Kernels: 1
#	ECC Enabled: 0
#	PCI Bus ID: 4
#	PCI Device: 0
#	TCC Driver: 0
#========================================================================
# Performance Test for Vector Addition with different Block Dim and Thread Dim.
blockDimMin : 	16
blockDimStep : 	16
blockDimMax : 	1024
gridDimMin : 	16
gridDimStep : 	16
gridDimMax : 	16384
nLoops : 	10
Size A: 	16777216	1
Size B: 	16777216	1
Size C: 	16777216	1
Num. Ops: 	3.35544e+007
# GridDim X 		GridDim Y		ThreadDim X		ThreadDim Y		Time in [ms]		GFlops/sec
16		1		16		1		47.7443909		0.702793174
16		1		32		1		27.8075256		1.2066673
16		1		48		1		21.2269852		1.58074412
16		1		64		1		15.0699234		2.22658278
16		1		80		1		13.5295334		2.4800879
16		1		96		1		10.7246719		3.12871407
16		1		112		1		10.3684029		3.23621993
16		1		128		1		8.38002243		4.00409811
16		1		144		1		8.68809586		3.86211577
16		1		160		1		6.86016922		4.89119596
16		1		176		1		6.90757446		4.85762871
16		1		192		1		5.55446701		6.04098142
16		1		208		1		5.96564178		5.62461395
16		1		224		1		5.1056736		6.57198925
16		1		240		1		5.27310066		6.36332097
16		1		256		1		4.52073593		7.42233842
16		1		272		1		4.57756157		7.33019786
16		1		288		1		4.18803215		8.01198052
16		1		304		1		4.3885025		7.64598675
16		1		320		1		3.87931824		8.64956932
16		1		336		1		4.08605766		8.21193306
16		1		352		1		3.57498245		9.38590117
16		1		368		1		3.81974068		8.78447906
16		1		384		1		3.38320656		9.91793774
16		1		400		1		3.5913887		9.34302432
16		1		416		1		3.30962868		10.138428
16		1		432		1		3.41045113		9.83870777
16		1		448		1		3.06246395		10.9566782
16		1		464		1		3.32834549		10.081415
16		1		480		1		2.88034878		11.6494337
